dataset_name,source_url,file_name,subject_id,session_name,record_group_id,record_id,file_type,file_role,selection_group,discovered_at_utc,content_sha256,content_length_bytes,selected_for_download,download_path,is_within_limit
ludb,https://physionet.org/files/ludb/1.0.1/data/1.dat,1.dat,1.0,,1.0,1.0,dat,waveform,1,2026-04-14T19:47:59.690921+00:00,7d669747badd7cb39f5a1e26b7f61b13fb897ce56f6a82a5f565da3c5123231e,120000,True,data/raw/ludb/1.dat,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.hea,1.hea,1.0,,1.0,1.0,hea,waveform,1,2026-04-14T19:47:59.690921+00:00,5bec2c548bf69c3bbd7bb8133769431345af55624cde309333d348c87f13f932,723,True,data/raw/ludb/1.hea,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.i,1.i,1.0,,1.0,1.0,i,annotation,1,2026-04-14T19:47:59.690921+00:00,2551d7ee687809fe3ed852b76d5c4a85981f188e0a1d5dcf0f616666577500a2,98,True,data/raw/ludb/1.i,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.ii,1.ii,1.0,,1.0,1.0,ii,annotation,1,2026-04-14T19:47:59.690921+00:00,157df852e1665c4361c0e599b8e76f8d0204161f813bc88850feec5161d870e6,98,True,data/raw/ludb/1.ii,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.iii,1.iii,1.0,,1.0,1.0,iii,annotation,1,2026-04-14T19:47:59.690921+00:00,befb878781459ab7f6c094972c361511533737a2e295a3307785d608afd6fdae,98,True,data/raw/ludb/1.iii,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.avr,1.avr,1.0,,1.0,1.0,avr,annotation,1,2026-04-14T19:47:59.690921+00:00,98d2d3f8fdcc74bde50832a66556cd025d8e359d2991cf1300b9c3832f8a0c1a,98,True,data/raw/ludb/1.avr,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.avl,1.avl,1.0,,1.0,1.0,avl,annotation,1,2026-04-14T19:47:59.690921+00:00,6576941fca020deba83c961fb2218f8be225c48a5185a224d43817de4927e2d7,98,True,data/raw/ludb/1.avl,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.avf,1.avf,1.0,,1.0,1.0,avf,annotation,1,2026-04-14T19:47:59.690921+00:00,cd8125ee0b1d51d5ab699b22342325f2c269c4fa02064d444dafc6e5923c6ef1,98,True,data/raw/ludb/1.avf,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.v1,1.v1,1.0,,1.0,1.0,v1,annotation,1,2026-04-14T19:47:59.690921+00:00,b9f1ce752cdbbf7025ec3ccf5cd6d8ff96f27903324b7dfa52f1e016782dad48,98,True,data/raw/ludb/1.v1,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.v2,1.v2,1.0,,1.0,1.0,v2,annotation,1,2026-04-14T19:47:59.690921+00:00,7dda8b6d51328dfd77522fb92e04b93d911c796ff22849deb6b209ab45ae4e84,98,True,data/raw/ludb/1.v2,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.v3,1.v3,1.0,,1.0,1.0,v3,annotation,1,2026-04-14T19:47:59.690921+00:00,21e075698a0c61f0ddaf96981321bcf7d42061c97f34229db86b2948d45df0e8,98,True,data/raw/ludb/1.v3,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.v4,1.v4,1.0,,1.0,1.0,v4,annotation,1,2026-04-14T19:47:59.690921+00:00,87b51b335d4613bd75994530c90019422ae044600fde0df642b6bbc2611ef113,98,True,data/raw/ludb/1.v4,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.v5,1.v5,1.0,,1.0,1.0,v5,annotation,1,2026-04-14T19:47:59.690921+00:00,a0f432c43cf9c98aad680d88df82b55fb4d8d759a0e1f43a2723c6077af67400,98,True,data/raw/ludb/1.v5,True
ludb,https://physionet.org/files/ludb/1.0.1/data/1.v6,1.v6,1.0,,1.0,1.0,v6,annotation,1,2026-04-14T19:47:59.690921+00:00,c377db89c3564e4d3708fb30646e7ec11ea709cb376181d984b8eaa662340611,98,True,data/raw/ludb/1.v6,True
ludb,https://physionet.org/files/ludb/1.0.1/data/2.dat,2.dat,2.0,,2.0,2.0,dat,waveform,2,2026-04-14T19:47:59.690921+00:00,d90c0262bed07f6dc0183ada1904831d8759d4e18135226f3b1915a28e614b36,120000,True,data/raw/ludb/2.dat,True
ludb,https://physionet.org/files/ludb/1.0.1/data/2.hea,2.hea,2.0,,2.0,2.0,hea,waveform,2,2026-04-14T19:47:59.690921+00:00,cd8c26c310cb79c5d1f9e539d7034df785ecd0bc366c64205618bbbe1f4e69b8,690,True,data/raw/ludb/2.hea,True
ludb,https://physionet.org/files/ludb/1.0.1/data/2.i,2.i,2.0,,2.0,2.0,i,annotation,2,2026-04-14T19:47:59.690921+00:00,830a6a18cb6bcecc7f803620e63dffff5223a0e2988c916e5b548914675ed8c0,152,True,data/raw/ludb/2.i,True
ludb,https://physionet.org/files/ludb/1.0.1/data/2.ii,2.ii,2.0,,2.0,2.0,ii,annotation,2,2026-04-14T19:47:59.690921+00:00,26c6072ae40896d5e5b6055bf99606f6b9455901043b40da15aca59da482f212,152,True,data/raw/ludb/2.ii,True
ludb,https://physionet.org/files/ludb/1.0.1/data/2.iii,2.iii,2.0,,2.0,2.0,iii,annotation,2,2026-04-14T19:47:59.690921+00:00,76480b5e588b1af5bae9e3e39f4f0db2696a450b1216e79351e5bcc7f60deb7a,152,True,data/raw/ludb/2.iii,True
ludb,https://physionet.org/files/ludb/1.0.1/data/2.avr,2.avr,2.0,,2.0,2.0,avr,annotation,2,2026-04-14T19:47:59.690921+00:00,9f65e2a7ff226fddab0dea22d079dcd000dd066ac7150ca8cbbd77a91201ebac,152,True,data/raw/ludb/2.avr,True
ludb,https://physionet.org/files/ludb/1.0.1/data/2.avl,2.avl,2.0,,2.0,2.0,avl,annotation,2,2026-04-14T19:47:59.690921+00:00,d399f8bbaece248076747e32c1395aae2d51030427b94a2f68326ed6477b9de8,152,True,data/raw/ludb/2.avl,True
