dataset_name,record_id,subject_id,session_id,session_name,signal_channel,split_seed,split_bucket
wearable_exam_stress,1,S1,1,midterm_1,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,2,S1,1,midterm_1,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,3,S1,1,midterm_1,acc_z,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,4,S1,1,midterm_1,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,5,S1,1,midterm_1,bvp,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,6,S1,1,midterm_1,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,7,S1,1,midterm_1,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,8,S1,1,midterm_1,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,9,S1,2,midterm_2,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,10,S1,2,midterm_2,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,11,S1,2,midterm_2,acc_z,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,12,S1,2,midterm_2,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,13,S1,2,midterm_2,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,14,S1,2,midterm_2,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,15,S1,2,midterm_2,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,16,S1,2,midterm_2,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,17,S2,1,midterm_1,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,18,S2,1,midterm_1,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,19,S2,1,midterm_1,acc_z,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,20,S2,1,midterm_1,acc_magnitude,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,21,S2,1,midterm_1,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,22,S2,1,midterm_1,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,23,S2,1,midterm_1,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,24,S2,1,midterm_1,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,25,S2,2,midterm_2,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,26,S2,2,midterm_2,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,27,S2,2,midterm_2,acc_z,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,28,S2,2,midterm_2,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,29,S2,2,midterm_2,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,30,S2,2,midterm_2,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,31,S2,2,midterm_2,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,32,S2,2,midterm_2,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,33,S3,1,midterm_1,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,34,S3,1,midterm_1,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,35,S3,1,midterm_1,acc_z,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,36,S3,1,midterm_1,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,37,S3,1,midterm_1,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,38,S3,1,midterm_1,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,39,S3,1,midterm_1,hr,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,40,S3,1,midterm_1,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,41,S3,2,midterm_2,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,42,S3,2,midterm_2,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,43,S3,2,midterm_2,acc_z,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,44,S3,2,midterm_2,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,45,S3,2,midterm_2,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,46,S3,2,midterm_2,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,47,S3,2,midterm_2,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,48,S3,2,midterm_2,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,49,S4,1,midterm_1,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,50,S4,1,midterm_1,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,51,S4,1,midterm_1,acc_z,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,52,S4,1,midterm_1,acc_magnitude,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,53,S4,1,midterm_1,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,54,S4,1,midterm_1,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,55,S4,1,midterm_1,hr,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,56,S4,1,midterm_1,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,57,S4,2,midterm_2,acc_x,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,58,S4,2,midterm_2,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,59,S4,2,midterm_2,acc_z,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,60,S4,2,midterm_2,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,61,S4,2,midterm_2,bvp,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,62,S4,2,midterm_2,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,63,S4,2,midterm_2,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,64,S4,2,midterm_2,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,65,S5,1,midterm_1,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,66,S5,1,midterm_1,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,67,S5,1,midterm_1,acc_z,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,68,S5,1,midterm_1,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,69,S5,1,midterm_1,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,70,S5,1,midterm_1,eda,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,71,S5,1,midterm_1,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,72,S5,1,midterm_1,temp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,73,S5,2,midterm_2,acc_x,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,74,S5,2,midterm_2,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,75,S5,2,midterm_2,acc_z,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,76,S5,2,midterm_2,acc_magnitude,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,77,S5,2,midterm_2,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,78,S5,2,midterm_2,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,79,S5,2,midterm_2,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,80,S5,2,midterm_2,temp,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,81,S6,1,midterm_1,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,82,S6,1,midterm_1,acc_y,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,83,S6,1,midterm_1,acc_z,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,84,S6,1,midterm_1,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,85,S6,1,midterm_1,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,86,S6,1,midterm_1,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,87,S6,1,midterm_1,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,88,S6,1,midterm_1,temp,wearable_exam_stress_phase1_seed_42,validation
wearable_exam_stress,89,S6,2,midterm_2,acc_x,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,90,S6,2,midterm_2,acc_y,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,91,S6,2,midterm_2,acc_z,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,92,S6,2,midterm_2,acc_magnitude,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,93,S6,2,midterm_2,bvp,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,94,S6,2,midterm_2,eda,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,95,S6,2,midterm_2,hr,wearable_exam_stress_phase1_seed_42,train
wearable_exam_stress,96,S6,2,midterm_2,temp,wearable_exam_stress_phase1_seed_42,train
