annotation_id,dataset_name,subject_id,session_id,session_name,source_file_name,label_name,label_value_text,label_value_numeric,label_value_boolean
ludb_1_i_count,ludb,1,0,,1.i,i_annotation_count,,48.0,
ludb_1_i_symbols,ludb,1,0,,1.i,i_annotation_symbols,"(,),N,p,t",,
ludb_1_ii_count,ludb,1,0,,1.ii,ii_annotation_count,,48.0,
ludb_1_ii_symbols,ludb,1,0,,1.ii,ii_annotation_symbols,"(,),N,p,t",,
ludb_1_iii_count,ludb,1,0,,1.iii,iii_annotation_count,,48.0,
ludb_1_iii_symbols,ludb,1,0,,1.iii,iii_annotation_symbols,"(,),N,p,t",,
ludb_1_avr_count,ludb,1,0,,1.avr,avr_annotation_count,,48.0,
ludb_1_avr_symbols,ludb,1,0,,1.avr,avr_annotation_symbols,"(,),N,p,t",,
ludb_1_avl_count,ludb,1,0,,1.avl,avl_annotation_count,,48.0,
ludb_1_avl_symbols,ludb,1,0,,1.avl,avl_annotation_symbols,"(,),N,p,t",,
ludb_1_avf_count,ludb,1,0,,1.avf,avf_annotation_count,,48.0,
ludb_1_avf_symbols,ludb,1,0,,1.avf,avf_annotation_symbols,"(,),N,p,t",,
ludb_1_v1_count,ludb,1,0,,1.v1,v1_annotation_count,,48.0,
ludb_1_v1_symbols,ludb,1,0,,1.v1,v1_annotation_symbols,"(,),N,p,t",,
ludb_1_v2_count,ludb,1,0,,1.v2,v2_annotation_count,,48.0,
ludb_1_v2_symbols,ludb,1,0,,1.v2,v2_annotation_symbols,"(,),N,p,t",,
ludb_1_v3_count,ludb,1,0,,1.v3,v3_annotation_count,,48.0,
ludb_1_v3_symbols,ludb,1,0,,1.v3,v3_annotation_symbols,"(,),N,p,t",,
ludb_1_v4_count,ludb,1,0,,1.v4,v4_annotation_count,,48.0,
ludb_1_v4_symbols,ludb,1,0,,1.v4,v4_annotation_symbols,"(,),N,p,t",,
ludb_1_v5_count,ludb,1,0,,1.v5,v5_annotation_count,,48.0,
ludb_1_v5_symbols,ludb,1,0,,1.v5,v5_annotation_symbols,"(,),N,p,t",,
ludb_1_v6_count,ludb,1,0,,1.v6,v6_annotation_count,,48.0,
ludb_1_v6_symbols,ludb,1,0,,1.v6,v6_annotation_symbols,"(,),N,p,t",,
ludb_2_i_count,ludb,2,0,,2.i,i_annotation_count,,75.0,
ludb_2_i_symbols,ludb,2,0,,2.i,i_annotation_symbols,"(,),N,p,t",,
ludb_2_ii_count,ludb,2,0,,2.ii,ii_annotation_count,,75.0,
ludb_2_ii_symbols,ludb,2,0,,2.ii,ii_annotation_symbols,"(,),N,p,t",,
ludb_2_iii_count,ludb,2,0,,2.iii,iii_annotation_count,,75.0,
ludb_2_iii_symbols,ludb,2,0,,2.iii,iii_annotation_symbols,"(,),N,p,t",,
ludb_2_avr_count,ludb,2,0,,2.avr,avr_annotation_count,,75.0,
ludb_2_avr_symbols,ludb,2,0,,2.avr,avr_annotation_symbols,"(,),N,p,t",,
ludb_2_avl_count,ludb,2,0,,2.avl,avl_annotation_count,,75.0,
ludb_2_avl_symbols,ludb,2,0,,2.avl,avl_annotation_symbols,"(,),N,p,t",,
ludb_2_avf_count,ludb,2,0,,2.avf,avf_annotation_count,,75.0,
ludb_2_avf_symbols,ludb,2,0,,2.avf,avf_annotation_symbols,"(,),N,p,t",,
ludb_2_v1_count,ludb,2,0,,2.v1,v1_annotation_count,,75.0,
ludb_2_v1_symbols,ludb,2,0,,2.v1,v1_annotation_symbols,"(,),N,p,t",,
ludb_2_v2_count,ludb,2,0,,2.v2,v2_annotation_count,,75.0,
ludb_2_v2_symbols,ludb,2,0,,2.v2,v2_annotation_symbols,"(,),N,p,t",,
ludb_2_v3_count,ludb,2,0,,2.v3,v3_annotation_count,,75.0,
ludb_2_v3_symbols,ludb,2,0,,2.v3,v3_annotation_symbols,"(,),N,p,t",,
ludb_2_v4_count,ludb,2,0,,2.v4,v4_annotation_count,,75.0,
ludb_2_v4_symbols,ludb,2,0,,2.v4,v4_annotation_symbols,"(,),N,p,t",,
ludb_2_v5_count,ludb,2,0,,2.v5,v5_annotation_count,,75.0,
ludb_2_v5_symbols,ludb,2,0,,2.v5,v5_annotation_symbols,"(,),N,p,t",,
ludb_2_v6_count,ludb,2,0,,2.v6,v6_annotation_count,,75.0,
ludb_2_v6_symbols,ludb,2,0,,2.v6,v6_annotation_symbols,"(,),N,p,t",,
ludb_3_i_count,ludb,3,0,,3.i,i_annotation_count,,75.0,
ludb_3_i_symbols,ludb,3,0,,3.i,i_annotation_symbols,"(,),N,p,t",,
ludb_3_ii_count,ludb,3,0,,3.ii,ii_annotation_count,,75.0,
ludb_3_ii_symbols,ludb,3,0,,3.ii,ii_annotation_symbols,"(,),N,p,t",,
