annotation_id,dataset_name,subject_id,session_id,session_name,source_file_name,label_name,label_value_text,label_value_numeric,label_value_boolean
S1_midterm_1_IBI.csv_ibi_count,wearable_exam_stress,S1,1,midterm_1,IBI.csv,ibi_interval_count,,300.0,
S1_midterm_1_IBI.csv_ibi_mean_seconds,wearable_exam_stress,S1,1,midterm_1,IBI.csv,ibi_mean_seconds,,0.50731484,
S1_midterm_1_IBI.csv_ibi_times_are_monotonic,wearable_exam_stress,S1,1,midterm_1,IBI.csv,ibi_times_are_monotonic,,,True
S1_midterm_1_info.txt_info_present,wearable_exam_stress,S1,1,midterm_1,info.txt,info_present,,,True
S1_midterm_1_info.txt_info_excerpt,wearable_exam_stress,S1,1,midterm_1,info.txt,info_excerpt,.csv files in this archive are in the following format: The first row is the initial time of the session expressed as unix timestamp in UTC. The second row is the sample rate expressed in Hz.,,
S1_midterm_1_tags.csv_tag_count,wearable_exam_stress,S1,1,midterm_1,tags.csv,tag_event_count,,2.0,
S1_midterm_1_tags.csv_tag_times_are_monotonic,wearable_exam_stress,S1,1,midterm_1,tags.csv,tag_times_are_monotonic,,,True
S1_midterm_2_IBI.csv_ibi_count,wearable_exam_stress,S1,2,midterm_2,IBI.csv,ibi_interval_count,,1290.0,
S1_midterm_2_IBI.csv_ibi_mean_seconds,wearable_exam_stress,S1,2,midterm_2,IBI.csv,ibi_mean_seconds,,0.5153094224806202,
S1_midterm_2_IBI.csv_ibi_times_are_monotonic,wearable_exam_stress,S1,2,midterm_2,IBI.csv,ibi_times_are_monotonic,,,True
S1_midterm_2_info.txt_info_present,wearable_exam_stress,S1,2,midterm_2,info.txt,info_present,,,True
S1_midterm_2_info.txt_info_excerpt,wearable_exam_stress,S1,2,midterm_2,info.txt,info_excerpt,.csv files in this archive are in the following format: The first row is the initial time of the session expressed as unix timestamp in UTC. The second row is the sample rate expressed in Hz.,,
S1_midterm_2_tags.csv_tag_count,wearable_exam_stress,S1,2,midterm_2,tags.csv,tag_event_count,,0.0,
S1_midterm_2_tags.csv_tag_times_are_monotonic,wearable_exam_stress,S1,2,midterm_2,tags.csv,tag_times_are_monotonic,,,True
S2_midterm_1_IBI.csv_ibi_count,wearable_exam_stress,S2,1,midterm_1,IBI.csv,ibi_interval_count,,600.0,
